RACE_CATEGORY,LATIN,NON_US_CITIZEN,HH_AGE,MALE,GRAD_CATEGORY,MAR_CATEGORY,YNGKIDS,SENIORS,DISABLED,NUM_MEMBERS,INCOME,LN_INCOME,STAY_CATEGORY,HOUSE_AGE,UNIT_CATEGORY,NOGOODSCHOOL,NOGOODPTRNS,HIGH_PCRIME,HIGH_SCRIME,HIGH_RISK,RENT_CONTROL,HUD_CATEGORY,DIV4,COMPOSITE_HI2,INCOME_CATEGORY,WHITE,BLACK,ASIAN,OTHER_RACE,MARRIED,SEPARATED,NEVER_MARRIED,HUD_HOU,HUD_HCV,HUD_NON,ONE_FAMILY_HOUSE,APARTMENT,MOBILE_HOUSE,DIV4_1,DIV4_2,DIV4_3,DIV4_4,UNDSCHOOL,HIGHSCHOOL,COLLEGE,BACHELOR,MASTER,STAY_0_5,STAY_5_10,STAY_10_MORE
1,0,0,21.0,0,2,3,0,0,0,1,19000.0,9.852246888342531,1,31.0,2,0,1,1,0,0,0,3,3,1,2.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,43.0,0,2,1,0,0,0,3,30000.0,10.308985993422082,3,31.0,2,0,0,1,0,0,0,2,1,0,2.0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
1,1,1,41.0,1,1,1,0,0,0,4,48000.0,10.778977123006351,3,41.0,3,0,1,0,0,0,0,3,3,0,2.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1,0,0,34.0,0,2,3,1,0,0,6,38400.0,10.555838779903407,1,102.0,2,0,0,0,0,0,0,3,1,2,2.0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
2,0,0,35.0,1,3,3,0,0,1,2,24800.0,10.118639253920785,2,81.0,1,0,0,1,0,0,0,3,3,3,2.0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,0,0,21.0,0,3,1,0,0,0,2,18000.0,9.798182590890704,1,11.0,2,0,1,0,0,0,0,3,3,2,2.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
1,0,0,25.0,0,3,2,1,0,1,3,35000.0,10.463131911491967,1,61.0,2,0,1,1,0,0,0,1,3,0,2.0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
1,1,1,38.0,1,1,1,0,0,0,5,50000.0,10.819798284210286,1,61.0,1,0,1,0,0,0,0,3,3,1,2.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
1,0,0,71.0,0,2,2,0,1,0,1,16500.0,9.711176264112805,1,21.0,1,0,0,0,0,0,0,1,3,1,2.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
3,0,0,75.0,0,1,1,0,1,1,2,28600.0,10.261196961231647,3,31.0,2,0,1,0,0,0,0,1,3,0,2.0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
1,0,0,68.0,0,2,2,0,1,0,1,13700.0,9.525224101853109,1,21.0,2,0,0,0,0,0,0,3,4,2,2.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
